id,sentence_id,noise_condition,response,target
14,30,-4 SNR,phone ordinary,"Man, if only my mom hit me like this"
14,12,clear,my mom was smart and had a sharp tongue but i,My mom was smart and had a sharp tongue
14,29,+2 SNR,the kid was bullied,A kid was bullying me
14,8,+2 SNR,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
14,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
14,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
14,26,-4 SNR,facing,Abel basically lived with us from then on.
14,20,clear,things catch fire sometimes that,Things catch fire sometimes.
14,5,+2 SNR,the two things i loved most were fire and mud,The two things I loved most were fire and knives.
14,25,-4 SNR,that kept abel out of the garage,They kicked Abel out of the garage
14,10,+2 SNR,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
14,9,clear,and id play with her son whenever we stayed there,And I’d play with her son whenever we stayed there
14,19,-4 SNR,the lawyer in me maintains that im completely innocent,The lawyer in me maintains that I am completely innocent
14,28,clear,'cause i could always find loopholes in the law,Because I could always find loopholes in the law
14,14,-4 SNR,in my mind i wasnt breaking laws,"In my mind, I wasn’t breaking the rules"
14,23,+2 SNR,he and my mom got into a huge fight,He and my mom got into a huge fight.
14,11,+2 SNR,black peoples' dogs don't play fetch,Black people's dogs don't play fetch
14,15,clear,i didn't get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
14,7,-4 SNR,your son was laughing while we were eating,Your son was laughing while we were hitting him.
14,13,-4 SNR,when it came to discipline catholic schools were,"When it came to discipline, Catholic school was no joke"
14,16,-4 SNR,matches the truth,"I had a box of matches with me, too"
14,6,-4 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
14,22,-4 SNR,the white family came home and stood on the streets,The white family came home and stood on the street
14,1,clear,my eyebrows were gone,My eyebrows were gone
14,18,clear,one of my uncles stopped calling me trevor he called,One of my uncles stopped calling me Trevor
14,3,+2 SNR,they called me the rubbish bin of the family,They called me the rubbish bin of the family
14,4,clear,i was hyperactive too,"I was hyperactive, too"
14,24,clear,that's why there's a fire brigade,That’s why there’s a fire brigade
14,2,+2 SNR,i loved fire and i especially loved fireworks,I loved fire and I especially loved fireworks
14,17,+2 SNR,at one point they took a break to go get a snack,At one point we took a break to go get a snack
15,29,clear,kid was bullying me,A kid was bullying me
15,7,clear,your son was laughing while we were hitting him,Your son was laughing while we were hitting him.
15,20,clear,things catch fire sometimes,Things catch fire sometimes.
15,21,+2 SNR,why did i keep missbehaving,Why did I keep misbehaving?
15,8,-4 SNR,your grandma was premature,My mom was forever trying to rein me in.
15,15,+2 SNR,NA,I didn’t get into trouble with my mom when it happened
15,22,-4 SNR,that evening when the white family came home,The white family came home and stood on the street
15,25,-4 SNR,the kid kicked out of the garage,They kicked Abel out of the garage
15,19,clear,the lawyer in me maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
15,3,+2 SNR,they called me rubbish bin of the family,They called me the rubbish bin of the family
15,12,-4 SNR,i am smart it shocked me,My mom was smart and had a sharp tongue
15,1,+2 SNR,my eyebrows were gone,My eyebrows were gone
15,4,clear,i was  hyperactive too,"I was hyperactive, too"
15,24,-4 SNR,thats why there is a fire,That’s why there’s a fire brigade
15,5,clear,two things i loved the most were fire and knives,The two things I loved most were fire and knives.
15,28,-4 SNR,i could always find the easy,Because I could always find loopholes in the law
15,14,+2 SNR,in my mind i was not breaking any rules,"In my mind, I wasn’t breaking the rules"
15,18,+2 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
15,26,-4 SNR,that evening,Abel basically lived with us from then on.
15,23,clear,he and my mom got into a huge fight,He and my mom got into a huge fight.
15,10,-4 SNR,where does your mother borrow food from,Why doesn’t your mother buy it for you?
15,2,-4 SNR,i especially loved fireworks,I loved fire and I especially loved fireworks
15,9,+2 SNR,i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
15,30,clear,if only my mom hot me like this,"Man, if only my mom hit me like this"
15,6,+2 SNR,got to the bathroom and look at it yourself,Go to the bathroom and look at yourself.
15,27,+2 SNR,the therapists did give me a series of tips,The therapists did give me a series of tests
15,16,clear,i had a box of matches with me too,"I had a box of matches with me, too"
15,13,clear,when it came to disciples the catholic school was no joke,"When it came to discipline, Catholic school was no joke"
15,17,-4 SNR,he took a break to get a snack,At one point we took a break to go get a snack
15,11,+2 SNR,dogs don't play fetch,Black people's dogs don't play fetch
16,11,clear,black people's dogs don't play fetch,Black people's dogs don't play fetch
16,30,clear,if only my mum hits me like this,"Man, if only my mom hit me like this"
16,20,-4 SNR,i think it is easy to catch a fire for things like that,Things catch fire sometimes.
16,14,+2 SNR,in my mind that was like breaking world,"In my mind, I wasn’t breaking the rules"
16,22,-4 SNR,good evening right family came into the street,The white family came home and stood on the street
16,10,-4 SNR,why doesn't your mother buy a phone yet,Why doesn’t your mother buy it for you?
16,8,+2 SNR,my mother is forever trying to ring me up,My mom was forever trying to rein me in.
16,13,clear,"when it comes to discipline, catholic school was no joke","When it came to discipline, Catholic school was no joke"
16,17,+2 SNR,"at one point, we took a break to go get a snack",At one point we took a break to go get a snack
16,24,-4 SNR,there was a firework in the evening,That’s why there’s a fire brigade
16,5,clear,the two things i love most was fire and knives,The two things I loved most were fire and knives.
16,21,+2 SNR,why do they keep misbehaviour,Why did I keep misbehaving?
16,4,+2 SNR,i was happen to have two,"I was hyperactive, too"
16,15,+2 SNR,i don't want to get in trouble with my mum when it happens,I didn’t get into trouble with my mom when it happened
16,9,clear,and i will play with my son whenever we stay there,And I’d play with her son whenever we stayed there
16,23,-4 SNR,my mum was in a huge,He and my mom got into a huge fight.
16,25,-4 SNR,they keep able out of garage,They kicked Abel out of the garage
16,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
16,6,-4 SNR,dog look at your size,Go to the bathroom and look at yourself.
16,3,-4 SNR,they told me it was rubbish bin in the sample,They called me the rubbish bin of the family
16,29,clear,the kid was bullying me,A kid was bullying me
16,18,clear,one of my uncles stop calling me trevor,One of my uncles stopped calling me Trevor
16,26,+2 SNR,mable basically live with us,Abel basically lived with us from then on.
16,16,clear,i have a box of matches with me too,"I had a box of matches with me, too"
16,1,+2 SNR,my eyebrows were gone,My eyebrows were gone
16,7,+2 SNR,my son is laughing while we hitting him,Your son was laughing while we were hitting him.
16,12,clear,my mum was smart and had a short tongue,My mom was smart and had a sharp tongue
16,28,+2 SNR,coz i can always loopholes in law,Because I could always find loopholes in the law
16,2,-4 SNR,i love fire especially love fireworks,I loved fire and I especially loved fireworks
16,19,-4 SNR,the lawyer we hire maintain in a level,The lawyer in me maintains that I am completely innocent
17,4,+2 SNR,i was hacked by active tooth,"I was hyperactive, too"
17,29,clear,the kid was bullying me,A kid was bullying me
17,13,-4 SNR,when it came to discipline catholic school was it for me,"When it came to discipline, Catholic school was no joke"
17,10,+2 SNR,why doesn't your mother buy it for you,Why doesn’t your mother buy it for you?
17,16,+2 SNR,i had a box of matches with me to,"I had a box of matches with me, too"
17,15,clear,i didn't get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
17,17,clear,at one point we took a break to go get a snack,At one point we took a break to go get a snack
17,5,+2 SNR,the two things i loved most fire and ice,The two things I loved most were fire and knives.
17,11,-4 SNR,black people's dogs dont play fetch,Black people's dogs don't play fetch
17,7,-4 SNR,well your son was laughing while you were hitting him,Your son was laughing while we were hitting him.
17,27,+2 SNR,the therapist did give me a series of tests,The therapists did give me a series of tests
17,14,clear,in my mind i wasn't breaking the rules,"In my mind, I wasn’t breaking the rules"
17,8,+2 SNR,my mum was forever trying to reign me in,My mom was forever trying to rein me in.
17,2,+2 SNR,i loved fire i especially loved fireworks,I loved fire and I especially loved fireworks
17,9,-4 SNR,i ate some whenever we stayed out,And I’d play with her son whenever we stayed there
17,24,clear,that's why there is a fire brigade,That’s why there’s a fire brigade
17,22,+2 SNR,the white family came home and stood on the street,The white family came home and stood on the street
17,19,clear,the lawyer in me maintains that i'm completely innoccent,The lawyer in me maintains that I am completely innocent
17,20,+2 SNR,things catch fire sometimes,Things catch fire sometimes.
17,18,-4 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
17,21,-4 SNR,why did they keep misbehaving,Why did I keep misbehaving?
17,28,clear,cuz i could always find loopholes in the law,Because I could always find loopholes in the law
17,6,-4 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
17,3,clear,they called me the rubbish bin of the family,They called me the rubbish bin of the family
17,1,clear,my eyebrows were gone,My eyebrows were gone
17,26,-4 SNR,NA,Abel basically lived with us from then on.
17,30,clear,if only my mom hit me like this,"Man, if only my mom hit me like this"
17,25,+2 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
17,23,-4 SNR,he and my mum got into huge fights,He and my mom got into a huge fight.
17,12,-4 SNR,my mum was smart and had a sharp tongue,My mom was smart and had a sharp tongue
18,14,-4 SNR,in my mind i was,"In my mind, I wasn’t breaking the rules"
18,26,clear,abel basically lived with us from then on,Abel basically lived with us from then on.
18,20,clear,things catch fire sometimes,Things catch fire sometimes.
18,3,-4 SNR,they called my rubbish,They called me the rubbish bin of the family
18,27,clear,the therapists did give me a series of tests,The therapists did give me a series of tests
18,1,clear,my eyebrows were gone,My eyebrows were gone
18,9,+2 SNR,and i would play with her son whenever we stayed there,And I’d play with her son whenever we stayed there
18,2,-4 SNR,i loved i especially loved fireworks,I loved fire and I especially loved fireworks
18,22,-4 SNR,white family came home and,The white family came home and stood on the street
18,5,+2 SNR,the two things i loved most were fired and mags,The two things I loved most were fire and knives.
18,8,clear,my mom was forever trying to rain me in,My mom was forever trying to rein me in.
18,18,-4 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
18,16,-4 SNR,too,"I had a box of matches with me, too"
18,28,clear,cause i could always find loopholes in the law,Because I could always find loopholes in the law
18,25,+2 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
18,4,-4 SNR,NA,"I was hyperactive, too"
18,13,+2 SNR,when it came to discipline catholic school was no joke,"When it came to discipline, Catholic school was no joke"
18,11,+2 SNR,black peoples dogs dont play fetch,Black people's dogs don't play fetch
18,19,+2 SNR,the lawyer in me maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
18,12,clear,my mom was sharp and had a sharp tongue,My mom was smart and had a sharp tongue
18,17,+2 SNR,at one point we took a break to go get a snack,At one point we took a break to go get a snack
18,15,clear,i had only get into trouble with mom when it happened,I didn’t get into trouble with my mom when it happened
18,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
18,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
18,7,-4 SNR,your son was laughing while we were eating,Your son was laughing while we were hitting him.
18,30,+2 SNR,if only my mom hit me like this,"Man, if only my mom hit me like this"
18,29,+2 SNR,the kid was bullied,A kid was bullying me
18,24,-4 SNR,thats why theres a firemark,That’s why there’s a fire brigade
18,23,clear,he and my mom got into a huge fight,He and my mom got into a huge fight.
18,10,-4 SNR,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
19,8,+2 SNR,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
19,12,clear,my mom was smart and had a sharp tounge but,My mom was smart and had a sharp tongue
19,23,+2 SNR,he and my mom got into a huge fight,He and my mom got into a huge fight.
19,17,-4 SNR,at one point we took a break to get a snack,At one point we took a break to go get a snack
19,14,-4 SNR,in my mind i was,"In my mind, I wasn’t breaking the rules"
19,11,+2 SNR,black peoples dogs dont play fetch,Black people's dogs don't play fetch
19,4,+2 SNR,i wa hyperactive too,"I was hyperactive, too"
19,2,-4 SNR,i loved ... and i especially loved firepits,I loved fire and I especially loved fireworks
19,28,-4 SNR,and i could always find him,Because I could always find loopholes in the law
19,16,-4 SNR,too,"I had a box of matches with me, too"
19,18,+2 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
19,7,-4 SNR,son was laughing while we were hitting,Your son was laughing while we were hitting him.
19,10,-4 SNR,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
19,15,clear,i didnt get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
19,13,clear,whem it came to discipline catholic school was no joke,"When it came to discipline, Catholic school was no joke"
19,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
19,30,+2 SNR,if only my mom ... this,"Man, if only my mom hit me like this"
19,21,clear,why did i keep misbehaving,Why did I keep misbehaving?
19,25,-4 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
19,3,clear,the called me the rubbish bin of the family,They called me the rubbish bin of the family
19,5,clear,the two things i loved most were fire and knives,The two things I loved most were fire and knives.
19,19,+2 SNR,the lawyer in me mantains that im completely innocent,The lawyer in me maintains that I am completely innocent
19,29,clear,the kid was bullying me,A kid was bullying me
19,9,clear,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
19,26,+2 SNR,abel basically lived with us from then on,Abel basically lived with us from then on.
19,24,+2 SNR,thats why theres a firepiy,That’s why there’s a fire brigade
19,20,-4 SNR,things catch fire,Things catch fire sometimes.
19,1,-4 SNR,my eybrows were gone,My eyebrows were gone
19,6,+2 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
19,22,clear,the white family came home and stood on the streets,The white family came home and stood on the street
20,30,-4 SNR,mom,"Man, if only my mom hit me like this"
20,28,+2 SNR,cause i could always find loopholes,Because I could always find loopholes in the law
20,10,clear,why don't your mother buy it for you,Why doesn’t your mother buy it for you?
20,29,+2 SNR,the kid was pulling,A kid was bullying me
20,24,clear,that's why there is a fire brigade,That’s why there’s a fire brigade
20,22,+2 SNR,the white family came home and stood on the street,The white family came home and stood on the street
20,14,clear,in my mind i wasn't breaking the rules,"In my mind, I wasn’t breaking the rules"
20,27,clear,the therapists did give me a series of testsm,The therapists did give me a series of tests
20,3,-4 SNR,they called me rubbish,They called me the rubbish bin of the family
20,19,+2 SNR,the laywer maintains that i'm completely innocent,The lawyer in me maintains that I am completely innocent
20,17,-4 SNR,at one point we took a break to get a snack,At one point we took a break to go get a snack
20,11,+2 SNR,black people's dogs don't play fetch,Black people's dogs don't play fetch
20,5,+2 SNR,"the two things i loved most, fire and",The two things I loved most were fire and knives.
20,7,-4 SNR,the son was laughing while we were,Your son was laughing while we were hitting him.
20,25,-4 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
20,8,-4 SNR,me in,My mom was forever trying to rein me in.
20,15,clear,i didn't get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
20,16,-4 SNR,would be to,"I had a box of matches with me, too"
20,18,-4 SNR,one of my uncle stopped,One of my uncles stopped calling me Trevor
20,23,clear,he and my mom got into a huge fight,He and my mom got into a huge fight.
20,1,-4 SNR,my...hours were gone,My eyebrows were gone
20,9,+2 SNR,and i'll play with her son whenever we stayed there,And I’d play with her son whenever we stayed there
20,20,clear,things catch fire sometimes,Things catch fire sometimes.
20,6,+2 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
20,12,clear,my mom was smart and had a sharp tounge,My mom was smart and had a sharp tongue
20,2,+2 SNR,i loved fire and i especially loved fireworks,I loved fire and I especially loved fireworks
20,26,clear,abel bascially lived with us from then on,Abel basically lived with us from then on.
20,21,-4 SNR,why did i keep misbehaving,Why did I keep misbehaving?
20,13,clear,when it came to disicpline catholic school was no jokee,"When it came to discipline, Catholic school was no joke"
20,4,+2 SNR,i was hyperactive too,"I was hyperactive, too"
21,23,-4 SNR,huge,He and my mom got into a huge fight.
21,3,clear,they called me the rubbish bin of the family,They called me the rubbish bin of the family
21,10,clear,why doesn't your mother buy it for you,Why doesn’t your mother buy it for you?
21,18,clear,"one of my uncles stopped calling me trevor, he called...",One of my uncles stopped calling me Trevor
21,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
21,8,+2 SNR,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
21,12,clear,"my mom was smart and had a sharp tongue, but i....",My mom was smart and had a sharp tongue
21,1,-4 SNR,god,My eyebrows were gone
21,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
21,2,+2 SNR,i loved fire and i especially loved firewings,I loved fire and I especially loved fireworks
21,4,+2 SNR,i was hyperactive too,"I was hyperactive, too"
21,13,clear,when it came to discipline catholic school was no joke,"When it came to discipline, Catholic school was no joke"
21,7,-4 SNR,your son was laughing while we were eating...,Your son was laughing while we were hitting him.
21,21,-4 SNR,keep being misbehaved,Why did I keep misbehaving?
21,19,-4 SNR,the lawyer in him maintains his composure...,The lawyer in me maintains that I am completely innocent
21,29,clear,a kid was bullying me,A kid was bullying me
21,28,clear,because i could always find loopholes in the law,Because I could always find loopholes in the law
21,17,-4 SNR,we took a break to go get a snack,At one point we took a break to go get a snack
21,15,+2 SNR,i didn't get in trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
21,22,+2 SNR,the white family came home and stood on the streets,The white family came home and stood on the street
21,14,clear,in my mind i wasn't breaking the rules,"In my mind, I wasn’t breaking the rules"
21,26,-4 SNR,able to do...,Abel basically lived with us from then on.
21,25,+2 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
21,16,+2 SNR,i had a box of matches with me too,"I had a box of matches with me, too"
21,11,+2 SNR,black people's dogs don't play fetch,Black people's dogs don't play fetch
21,24,+2 SNR,that's why there is a fire brigadge,That’s why there’s a fire brigade
21,20,-4 SNR,things catch fire sometimes,Things catch fire sometimes.
21,9,-4 SNR,and i played with her son whenever we came over,And I’d play with her son whenever we stayed there
21,5,-4 SNR,"two things i love the most about the world, fire and mud",The two things I loved most were fire and knives.
21,30,+2 SNR,if only my mom held me like this,"Man, if only my mom hit me like this"
22,27,-4 SNR,the therapist gave me a series of tests,The therapists did give me a series of tests
22,11,+2 SNR,black people's dogs don't play fetch,Black people's dogs don't play fetch
22,8,-4 SNR,my mom is,My mom was forever trying to rein me in.
22,3,clear,they called me the rubbish bin of the family,They called me the rubbish bin of the family
22,12,+2 SNR,my mom was smart and had a sharp tongue,My mom was smart and had a sharp tongue
22,18,clear,one of my uncle's stopped calling me trevor,One of my uncles stopped calling me Trevor
22,24,-4 SNR,that's why,That’s why there’s a fire brigade
22,17,+2 SNR,at one point we took a break to get a snack,At one point we took a break to go get a snack
22,10,-4 SNR,where has your mother,Why doesn’t your mother buy it for you?
22,19,-4 SNR,maintains switzerland,The lawyer in me maintains that I am completely innocent
22,26,+2 SNR,they would basically live with us from,Abel basically lived with us from then on.
22,28,-4 SNR,cause i could always find people,Because I could always find loopholes in the law
22,30,clear,if only my mom hit me like this,"Man, if only my mom hit me like this"
22,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
22,25,-4 SNR,they kept,They kicked Abel out of the garage
22,1,clear,my eyebrows were gone,My eyebrows were gone
22,20,+2 SNR,things catch fire sometimes,Things catch fire sometimes.
22,5,+2 SNR,the two things i loved most was fire and,The two things I loved most were fire and knives.
22,9,clear,and i would play with her son whenever we stayed there,And I’d play with her son whenever we stayed there
22,15,+2 SNR,i didn't get in trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
22,4,+2 SNR,i was,"I was hyperactive, too"
22,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
22,2,-4 SNR,i loved and i specially loved fire,I loved fire and I especially loved fireworks
22,29,clear,the kid was bullying me,A kid was bullying me
22,7,-4 SNR,your son was laughing while he was hitting me,Your son was laughing while we were hitting him.
22,14,clear,in my mind i wasn't breaking the rules,"In my mind, I wasn’t breaking the rules"
22,13,-4 SNR,when it came to,"When it came to discipline, Catholic school was no joke"
22,22,clear,the white family came home and stood on the street,The white family came home and stood on the street
22,23,+2 SNR,he and my mom got into a huge fight,He and my mom got into a huge fight.
22,16,clear,i had a box of matches with me too,"I had a box of matches with me, too"
23,9,clear,and i'd play with her son whenever we stayed there.,And I’d play with her son whenever we stayed there
23,26,clear,abel basically lived with us from then on.,Abel basically lived with us from then on.
23,17,-4 SNR,"at one point, we took a break to go get a snack.",At one point we took a break to go get a snack
23,13,clear,"when it came to discipline, catholic school was no joke.","When it came to discipline, Catholic school was no joke"
23,2,-4 SNR,"i loved fire, i especially loved fireworks.",I loved fire and I especially loved fireworks
23,3,clear,they called me 'the rubbish bin of the family'.,They called me the rubbish bin of the family
23,15,clear,i didn't get into trouble with my mum when it happened.,I didn’t get into trouble with my mom when it happened
23,23,+2 SNR,he and my mom got into a huge fight.,He and my mom got into a huge fight.
23,5,-4 SNR,"the two things i loved most, fire and mud.",The two things I loved most were fire and knives.
23,11,+2 SNR,black people's dogs don't play fetch.,Black people's dogs don't play fetch
23,27,+2 SNR,the therapists did give me a series of tests.,The therapists did give me a series of tests
23,30,+2 SNR,if only my mum had seen this.,"Man, if only my mom hit me like this"
23,19,-4 SNR,the lawyer maintains that ... exclusively,The lawyer in me maintains that I am completely innocent
23,10,-4 SNR,why doesn't your mother buy it for youslash,Why doesn’t your mother buy it for you?
23,8,-4 SNR,my mom was forever trying to rein me in,My mom was forever trying to rein me in.
23,12,+2 SNR,"my mom was smart, and had a sharp tongue.",My mom was smart and had a sharp tongue
23,6,clear,go to the bathroom and look at yourself.,Go to the bathroom and look at yourself.
23,7,clear,your son was laughing while we were hitting him.,Your son was laughing while we were hitting him.
23,29,-4 SNR,the kid was bullying me,A kid was bullying me
23,4,clear,i was hyper active too.,"I was hyperactive, too"
23,14,-4 SNR,in my mind i was a great genius,"In my mind, I wasn’t breaking the rules"
23,16,clear,i had a box of matches with me too,"I had a box of matches with me, too"
23,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
23,18,+2 SNR,one of my uncles stopped caling me 'trevor'.,One of my uncles stopped calling me Trevor
23,1,clear,my eyebrows were gone,My eyebrows were gone
23,22,-4 SNR,"the white family came home, and stood on the street.",The white family came home and stood on the street
23,25,+2 SNR,they kciked abel out of the garage,They kicked Abel out of the garage
23,28,-4 SNR,NA,Because I could always find loopholes in the law
23,24,+2 SNR,that's why there's a fire brigade,That’s why there’s a fire brigade
23,20,+2 SNR,things catch fire sometimes,Things catch fire sometimes.
24,24,clear,that's why there's a fire brigade.,That’s why there’s a fire brigade
24,11,clear,black people's dogs don't play fetch.,Black people's dogs don't play fetch
24,14,+2 SNR,in my mind i wasn't breaking the rules.,"In my mind, I wasn’t breaking the rules"
24,4,clear,i was hyperactive too,"I was hyperactive, too"
24,1,-4 SNR,my eyebrows were gone.,My eyebrows were gone
24,26,clear,abel basically lived with us from then on.,Abel basically lived with us from then on.
24,16,-4 SNR,box too,"I had a box of matches with me, too"
24,5,+2 SNR,the two things i loved most were fire and,The two things I loved most were fire and knives.
24,6,-4 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
24,30,+2 SNR,if only my mom had heard this,"Man, if only my mom hit me like this"
24,8,+2 SNR,my mom was forever trying to reign me in,My mom was forever trying to rein me in.
24,29,clear,a kid was bullying me,A kid was bullying me
24,23,+2 SNR,he and my mom had gotten into a huge fight.,He and my mom got into a huge fight.
24,21,+2 SNR,why did i keep misbehavingslash,Why did I keep misbehaving?
24,10,clear,NA,Why doesn’t your mother buy it for you?
24,28,+2 SNR,NA,Because I could always find loopholes in the law
24,12,+2 SNR,my mom was smart and had a sharp tongue,My mom was smart and had a sharp tongue
24,18,clear,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
24,19,clear,the lawyer in me maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
24,17,-4 SNR,at one point we took a break to go get a snack,At one point we took a break to go get a snack
24,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
24,7,-4 SNR,well your son was laughing while we were,Your son was laughing while we were hitting him.
24,2,-4 SNR,i especially loved fireworks,I loved fire and I especially loved fireworks
24,20,+2 SNR,things catch fire sometimes,Things catch fire sometimes.
24,13,-4 SNR,when it came to catholic schools,"When it came to discipline, Catholic school was no joke"
24,3,clear,they called me the rubbish bin of the family,They called me the rubbish bin of the family
24,15,-4 SNR,i would get into trouble my mum,I didn’t get into trouble with my mom when it happened
24,22,-4 SNR,white family came home and stood on the streets,The white family came home and stood on the street
24,9,+2 SNR,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
24,25,-4 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
25,29,clear,a kid was bullying me,A kid was bullying me
25,28,-4 SNR,i can always find,Because I could always find loopholes in the law
25,19,-4 SNR,maintains,The lawyer in me maintains that I am completely innocent
25,17,+2 SNR,"at one point, we took a break to go get a snack",At one point we took a break to go get a snack
25,11,clear,black people's dogs dont play fetch,Black people's dogs don't play fetch
25,1,-4 SNR,hours,My eyebrows were gone
25,4,+2 SNR,i was hyperactive too,"I was hyperactive, too"
25,18,+2 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
25,24,-4 SNR,there's a fire,That’s why there’s a fire brigade
25,23,clear,he and my mom got into a huge fight,He and my mom got into a huge fight.
25,25,-4 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
25,16,+2 SNR,i had a box of matches with me too,"I had a box of matches with me, too"
25,12,-4 SNR,smart and i,My mom was smart and had a sharp tongue
25,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
25,20,-4 SNR,things catch fire,Things catch fire sometimes.
25,9,+2 SNR,and i'd play with her son whenever we'd stay there,And I’d play with her son whenever we stayed there
25,26,-4 SNR,NA,Abel basically lived with us from then on.
25,5,-4 SNR,two things i loved the most fire and,The two things I loved most were fire and knives.
25,21,-4 SNR,keep mishebaving,Why did I keep misbehaving?
25,30,+2 SNR,if only my mom could this,"Man, if only my mom hit me like this"
25,8,+2 SNR,my mom was forever trynna rain me in,My mom was forever trying to rein me in.
25,14,clear,in my mind i wasnt breaking the rules,"In my mind, I wasn’t breaking the rules"
25,3,+2 SNR,they called me the rubbish of the family,They called me the rubbish bin of the family
25,27,clear,the therapists did give me a series of tests,The therapists did give me a series of tests
25,15,clear,i didnt get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
25,7,+2 SNR,son was laughing while we were hitting him,Your son was laughing while we were hitting him.
25,2,clear,i loved fire and i especially loved fireworks,I loved fire and I especially loved fireworks
25,10,clear,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
25,22,+2 SNR,the white family came home and stood on the streets,The white family came home and stood on the street
25,13,clear,"when it came to discipline, catholic school was no joke","When it came to discipline, Catholic school was no joke"
26,17,+2 SNR,at one point we took a break to go get a snack,At one point we took a break to go get a snack
26,5,clear,the two things i love most were fire and ice,The two things I loved most were fire and knives.
26,2,+2 SNR,i love fire and i especially loved fireworks,I loved fire and I especially loved fireworks
26,26,clear,abel basically lived with us from then on,Abel basically lived with us from then on.
26,16,clear,i had a box of matches with me too,"I had a box of matches with me, too"
26,14,-4 SNR,mama,"In my mind, I wasn’t breaking the rules"
26,15,+2 SNR,i didn't get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
26,30,clear,if only my mom hit me like this,"Man, if only my mom hit me like this"
26,28,-4 SNR,it's like i can always find,Because I could always find loopholes in the law
26,4,+2 SNR,i was hyperactive too,"I was hyperactive, too"
26,9,+2 SNR,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
26,13,-4 SNR,when it came to discreet,"When it came to discipline, Catholic school was no joke"
26,3,+2 SNR,they called me the rubbish bin of the family,They called me the rubbish bin of the family
26,23,clear,here my mom got into a huge fight,He and my mom got into a huge fight.
26,29,clear,the kid was bullying me,A kid was bullying me
26,27,clear,the therapists did give me a series of tests,The therapists did give me a series of tests
26,25,-4 SNR,they left the garage,They kicked Abel out of the garage
26,7,-4 SNR,the son was laughing while hitting,Your son was laughing while we were hitting him.
26,10,+2 SNR,why doesn't your mother buy it for you,Why doesn’t your mother buy it for you?
26,6,-4 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
26,11,-4 SNR,blackbean was dodged,Black people's dogs don't play fetch
